route,t,lat,lon,speed,speed_kmh,accel,signal,signal_1,signal_2,time_since_last_good,signal_bars,rsrp_dbm,rsrq_db,sinr_db,tower_distance_m,tower_count_nearby,real_tower_visible,rsrp_1,sinr_1,signal_delta,rsrp_delta,handover,distance_since_last_good_m
city_route,0.0,12.972054,77.594311,4.88,17.6,0.0,1,1,1,0.0,5,-74.94,-10.345,9.311,477.56,4,1,-90.0,5.0,0,15.06,1,0.0
city_route,1.0,12.972054,77.594311,10.82,39.0,5.94,1,1,1,0.0,5,-74.14,-10.174,9.653,463.88,4,1,-74.94,9.311,0,0.8,0,0.0
city_route,2.0,12.972054,77.594311,4.09,14.7,-6.0,1,1,1,0.0,5,-75.84,-10.538,8.924,493.04,4,1,-74.14,9.653,0,-1.7,0,0.0
city_route,3.0,12.972054,77.594311,7.05,25.4,2.96,1,1,1,0.0,5,-77.93,-10.985,8.03,528.8,3,1,-75.84,8.924,0,-2.09,0,0.0
city_route,4.0,12.972054,77.594311,5.44,19.6,-1.61,1,1,1,0.0,5,-78.05,-11.01,7.979,530.84,3,1,-77.93,8.03,0,-0.12,0,0.0
city_route,5.0,12.972054,77.594311,10.33,37.2,4.89,1,1,1,0.0,5,-78.82,-11.175,7.649,544.04,3,1,-78.05,7.979,0,-0.77,0,0.0
city_route,6.0,12.972054,77.594311,11.38,41.0,1.05,1,1,1,0.0,4,-83.25,-12.125,5.75,620.0,3,1,-78.82,7.649,0,-4.43,0,0.0
city_route,7.0,12.972054,77.594311,5.42,19.5,-5.96,1,1,1,0.0,4,-82.86,-12.043,5.915,613.4,3,1,-83.25,5.75,0,0.39,0,0.0
city_route,8.0,12.972054,77.594311,5.12,18.4,-0.3,1,1,1,0.0,4,-82.92,-12.053,5.894,614.24,3,1,-82.86,5.915,0,-0.06,0,0.0
city_route,9.0,12.972054,77.594311,7.85,28.3,2.73,1,1,1,0.0,4,-81.05,-11.654,6.692,582.32,3,1,-82.92,5.894,0,1.87,0,0.0
city_route,10.0,12.972054,77.594311,5.96,21.4,-1.89,1,1,1,0.0,5,-78.62,-11.132,7.736,540.56,3,1,-81.05,6.692,0,2.43,0,0.0
city_route,11.0,12.972054,77.594311,7.54,27.1,1.58,1,1,1,0.0,5,-79.21,-11.259,7.481,550.76,3,1,-78.62,7.736,0,-0.59,0,0.0
city_route,12.0,12.972054,77.594311,6.94,25.0,-0.6,1,1,1,0.0,5,-79.15,-11.246,7.508,549.68,3,1,-79.21,7.481,0,0.06,0,0.0
city_route,13.0,12.972054,77.594311,9.1,32.7,2.16,1,1,1,0.0,5,-77.66,-10.927,8.147,524.12,3,1,-79.15,7.508,0,1.49,0,0.0
city_route,14.0,12.972054,77.594311,9.29,33.5,0.19,1,1,1,0.0,5,-77.47,-10.887,8.225,521.0,3,1,-77.66,8.147,0,0.19,0,0.0
city_route,15.0,12.972054,77.594311,6.78,24.4,-2.51,1,1,1,0.0,5,-76.33,-10.642,8.717,501.32,3,1,-77.47,8.225,0,1.14,0,0.0
city_route,16.0,12.972054,77.594311,5.56,20.0,-1.22,1,1,1,0.0,5,-74.56,-10.262,9.476,470.96,4,1,-76.33,8.717,0,1.77,0,0.0
